original_sponsor,clustered_sponsor
(AMERICAN COLONY CLUB?),American Colony Club
MEYERS HOTEL,Meyers Hotel
BODIES OF THE RITE,Bodies Of The Rite
SOCIETA'LA PIEMONTESE,Societala Piemontese
OLD SETTLERS' CLUB,Old Settlers Club
FRIENDS OF MR. JOSEPH B.WITMAN,Friends Of Mr. Joseph B.Witman
A l'Ecu de France,A Lecu De France
Wheeler & Co.,Wheeler & Co.
Refectorium,Refectorium
Krogs Fiskerestaurant,Krogs Fiskerestaurant
La Bucherie,La Bucherie
Palmengarten Nordeingang,Palmengarten Nordeingang
Gosman's Dock,Gosmans Dock
Atles Gasthaus Leve,Atles Gasthaus Leve
Yee Hop's,Yee Hops
Uknown,Uknown
'Testimonial Dinner,Testimonial Dinner
'The Mahat Asram,The Mahat Asram
North German Lloyd,North German Lloyd
Gaylord's,Gaylords
The New York City Community College,The New York City Community College
Fuhrmanns Stube,Fuhrmanns Stube
CafÃ© American,Cafac American
Trapp Family Lodge,Trapp Family Lodge
'\The Manor\''''',The Manor
The Sea Horse Restaurant,The Sea Horse Restaurant
Im StapelhÃ¤uschen,Im Stapelhaouschen
'Terrace Room,Terrace Room
Hotel EuropÃ¤ischer Hof,Hotel Europaoischer Hof
Von's,Vons
Hotel Gehrhus,Hotel Gehrhus
Waterfort,Waterfort
Hotel Ritz   Lisboa,Hotel Ritz Lisboa
R.M.S. Mauretania,R.M.S. Mauretania
Brockles' Restaurant,Brockles Restaurant
Guy Lomabard's East Point House,Guy Lomabards East Point House
Bundeshaus Restaurant,Bundeshaus Restaurant
La Colombe D'or,La Colombe Dor
Hohensalzburg,Hohensalzburg
The New York Public Library,The New York Public Library
George Washington Hotel,George Washington Hotel
S.S. President Wilson,S.S. President Wilson
The Stockholm Restaurants,The Stockholm Restaurants
Alexandra,Alexandra
Ussr Pavillion Restaurant,Ussr Pavillion Restaurant
Theatercafeen,Theatercafeen
Clinton House,Clinton House
Hotel General Wayne,Hotel General Wayne
LarrÃ©'s,Larracs
'Paquebot ''Normandie''''''',Paquebot Normandie
Vanderbilt Studios Inn,Vanderbilt Studios Inn
The Elks Club,The Elks Club
The Ross Dining Rooms   Methodist Building,The Ross Dining Rooms Methodist Building
Cosmos Club,Cosmos Club
Hotel Copley Plaza,Copley Plaza Hotel
Murray's Roman Gardens,Murrays Roman Gardens
Tokyo Club,Tokyo Club
Bensonhurst Yacht Club,Bensonhurst Yacht Club
A.H.Meyer Rathskeller,A.H.Meyer Rathskeller
Pilgrim's Bakery and Restaurant,Pilgrims Bakery And Restaurant
Intercolonial Railway,Intercolonial Railway
Greenhut-Siegel Cooper Co. Tea Room,Greenhut-siegel Cooper Co. Tea Room
Stauch's,Stauchs
REPUBLICAN HOUSE,Republican House
PENNSYLVANIA RAILROAD,Pennsylvania Railroad
NEW YORK ATHLETIC CLUB,New York Athletic Club
PARK AVENUE HOTEL,Park Avenue Hotel
HOTEL MANHATTAN,Hotel Manhattan
YE HOTEL COLONIAL,Ye Hotel Colonial
U.S.A.(ARMY) TRANSPORT WARREN,U.S.A.Army Transport Warren
GENERAL DUNDAS,General Dundas
MENZIE'S HOTEL,Menzies Hotel
PALACE HOTEL RESTAURANT AND LADIES GRILL ROOM,Palace Hotel Restaurant And Ladies Grill Room
RAYMOND & WHITCOMBIS TOURS,Raymond & Whitcombis Tours
HOTEL CADILLAC,Hotel Cadillac
ROYAL PALACE HOTEL,Royal Palace Hotel
GRILL ROOM,Grill Room
OLYMPIC CLUB,Olympic Club
ALUMNI ASSOCIATION OF THE CUMBERLAND STREET & BROOKLYN HOMEOPATHIC HOSPITALS,Alumni Association Of The Cumberland Street & Brooklyn Homeopathic Hospitals
METROPOLITAN LIFE INSURANCE COMPANY,Metropolitan Life Insurance Company
CURRAHEE CLUB,Currahee Club
THE BUSINESS MEN OF NEW YORK,The Business Men Of New York
TREASURERS CLUB OF AMERICA,Treasurers Club Of America
ENGINEERS' CLUB,Engineers Club
ROBERT E. PEARY,Robert E. Peary
(ADMIRAL LACOMBE?),Admiral Lacombe
H.M.PARAMINDR MAHA CHULALONGKORN-KING OF SIAM,H.M.Paramindr Maha Chulalongkorn-king Of Siam
METROPOLITAN HOTEL,Metropolitan Hotel
THIRTEEN CLUB,Thirteen Club
GERMAN AMERICAN CHARITY BALL,German American Charity Ball
CLASS OF 1877 HARVARD COLLEGE,Class Of 1877 Harvard College
BRITISH SCHOOLS AND UNIVERSITIES CLUB OF NEW YORK,British Schools And Universities Club Of New York
(RALPH LESSEE),Ralph Lessee
MILITARY ORDER OF THE LOYAL LEGION OF THE UNITED STATES COMMANDERY OF THE STATE OF MINNESOTA,Military Order Of The Loyal Legion Of The United States Commandery Of The State Of Minnesota
AMERICAN CHAMBER OF COMMERCE OF PARIS COMMISSION FOR THE EXPOSIION OF 1900,American Chamber Of Commerce Of Paris Commission For The Exposiion Of 1900
MAGDEBURGER LIEDERTAFEL,Magdeburger Liedertafel
BRITISHSCHOOLS AND UNIVERSITIES CLUB OF NEW YORK,Britishschools And Universities Club Of New York
FLUSHING INSTITUTE ASSOCIATION,Flushing Institute Association
MANSION,Mansion
NEW YORK LIFE INSUANCE COMPANY,New York Life Insuance Company
CHAMBRE DE COMMERCE FRANCAISE DE NEW YORK,Chambre De Commerce Francaise De New York
CALEDONIAN SOCIETY,Caledonian Society
(FIVE O'CLOCK CLUB PHILADELPHIA),Five Oclock Club Philadelphia
HIBERNIAN SOCIETY OF PHILADELPHIA,Hibernian Society Of Philadelphia
LEGISLATIVE CORRESPONDENTS' ASSOCIATION,Legislative Correspondents Association
OLD POODLE DOG RESTAURANT,Old Poodle Dog Restaurant
ILLINOIS SOCIETY OF THE SONS OF THE REVOLUTION,Illinois Society Of The Sons Of The Revolution
HOTELS SCHWEIZERHOF & LUZERNERHOF,Hotels Schweizerhof & Luzernerhof
CHICAGO AND ALTON RR,Chicago And Alton Rr
JACOB KNOOP SOHNE WEINSTUBEN,Jacob Knoop Sohne Weinstuben
JOHN J. PETIT OF BROOKLYN,John J. Petit Of Brooklyn
PRINCE AND PRINCESS OF WALES,Prince And Princess Of Wales
FRATERNAL UNION OF ANNIONTED HIGH PRIESTS OF NEW YORK STATE,Fraternal Union Of Annionted High Priests Of New York State
JOHN R. WATERS TO ADVISORY COMMITTEES AT NY RECIPROCAL UNDERWRITERS,John R. Waters To Advisory Committees At Ny Reciprocal Underwriters
FIDELITY LODGE NO. 120,Fidelity Lodge No. 120
HOFFMAN CAFES,Hoffman Cafes
NEW-YORK LIFE IN GREATER NEW YORK,New-york Life In Greater New York
COLLEGE OF THE CITY OF NEW YORK,College Of The City Of New York
U.S. FLAGSHIP CHARLESTON,U.S. Flagship Charleston
WESLEYAN UNIVERSITY CLUB OF NEW YORK,Wesleyan University Club Of New York
ALUMNI CLASS OF CCNY,Alumni Class Of Ccny
Sheraton Skyline Hotel,Sheraton Skyline Hotel
Carlton Club,Carlton Club
Hotel Ritz,Hotel Ritz
La Residence,La Residence
Restaurant zum alten Rathaus,Restaurant Zum Alten Rathaus
TANTE MARGUERITE,Tante Marguerite
The Boar's Head Inn,The Boars Head Inn
Nordeutscher Lloyd Bremen   On Board S.S. 'George Washington.,Nordeutscher Lloyd Bremen On Board S.S. George Washington.
Edwardian Room,Edwardian Room
The St. Regis Sheraton,The St. Regis Sheraton
The Tea Cosy,The Tea Cosy
Jour & Nuit,Jour & Nuit
Ratsweinkeller,Ratsweinkeller
Memorial Apts.,Memorial Apts.
The Ark,The Ark
Maitre Jacques On The Charles,Maitre Jacques On The Charles
Banff Springs Hotel,Banff Springs Hotel
Las Alamedas,Las Alamedas
Weir Cook Dining Room,Weir Cook Dining Room
'Ballroom,Ballroom
The Dining Room,The Dining Room
Hatsuhana,Hatsuhana
The Essex Hotel   The Colonnades,The Essex Hotel The Colonnades
Manila,Manila
Costello's Restaurant,Costellos Restaurant
The White Turkey,The White Turkey
The Red Barn,The Red Barn
Furhlen Stuben,Furhlen Stuben
Legal Sea Foods,Legal Sea Foods
The Water Tower,The Water Tower
Sky Way,Sky Way
Restaurant Victoria,Restaurant Victoria
Childs,Childs
Streamliner,Streamliner
Canterbury Inn,Canterbury Inn
The Moskowitz & Lupowitz Restaurant,The Moskowitz & Lupowitz Restaurant
Sedgefield Inn,Sedgefield Inn
Royal Alexandria Hotel,Royal Alexandria Hotel
The Bankers Club Of America,The Bankers Club Of America
Motorliner Kungsholm,Motorliner Kungsholm
The Commodore Hotel,The Commodore Hotel
R.M.S. Berengaria,R.M.S. Berengaria
The Queen's,The Queens
Hotel Athens,Hotel Athens
Abraham and Straus,Abraham And Straus
Odd Fellows Hall,Odd Fellows Hall
Grocers' Hall,Grocers Hall
Maryland Club,Maryland Club
The Valencia,The Valencia
The Pabst,The Pabst
New York Press Club,New York Press Club
South Shore Country Club,South Shore Country Club
Hotel Washington,Hotel Washington
EVERETT HOUSE,Everett House
COMMERCIAL ORGANIZATIONS OF SAN FRANCISCO,Commercial Organizations Of San Francisco
B.& O. BLUE LINE,B.& O. Blue Line
CUVIER CLUB,Cuvier Club
PULLMAN DINING CAR SERFVICE-THE PRESIDENT,Pullman Dining Car Serfvice-the President
PURE FOOD CAFE,Pure Food Cafe
(ENGLISH HOTEL RESTAURANT),English Hotel Restaurant
NEW GLADSTONE,New Gladstone
THE PRESIDENT & DIRECTORS OF THE CONFEDERATION LIFE ASSOCIATION,The President & Directors Of The Confederation Life Association
BULL'S HEAD RESTAURANT,Bulls Head Restaurant
HOTEL DE L'ANGE,De Lange Hotel
OCEANIC STEAMSHIP COMPANY -S.S.ZEALANDER,Oceanic Steamship Company - S.S.Zealander
STREETS OF MEXICO RESTAURANT,Streets Of Mexico Restaurant
THE ARMY OF THE TENNESSEE,The Army Of The Tennessee
UNIVERSAL FOOD & COOKERY ASSOCIATION (NORTH OF ENGLAND BRANCH),Universal Food & Cookery Association North Of England Branch
CATARACT AND INTERNATIONAL HOTELS COMPANY,Cataract And International Hotels Company
NORDDEUTSCHER LLOYD,Norddeutscher Lloyd
GOV.ROGER WOLCOTT OF MASS;,Gov.Roger Wolcott Of Mass;
(THE CHAMBER OF COMMERCE),The Chamber Of Commerce
AMERICAN PATRIOTIC CLUB,American Patriotic Club
xtYE TWILIGHT CLUB,Xtye Twilight Club
HARVARD CLUB OF NEW YORK CITY,Harvard Club Of New York City
DENVER BAR ASSOCIATION,Denver Bar Association
NEW TIFFT HOUSE,New Tifft House
FREE TRADE CLUB,Free Trade Club
QUILL AND DAGGER CLUB,Quill And Dagger Club
NATIONAL COLLEGE OF PHARMACY ALUMNI ASSOCIATION,National College Of Pharmacy Alumni Association
(KING ALEXANDER OF SERVIA),King Alexander Of Servia
(SIMPSON TIMBER),Simpson Timber
M.F. LOYNS DINING ROOMS,M.F. Loyns Dining Rooms
THE GRADUATES CLUB OF NEW YORK CITY,The Graduates Club Of New York City
HAMBURG - AMERIKA LINIE,Hamburg - Amerika Linie
THE THORNDIKE,The Thorndike
FRENCH CIRCLE,French Circle
KNIGHTS TEMPLAR COOK CO.,Knights Templar Cook Co.
PRESIDENT FALLIERES,President Fallieres
NASHVILLE CHAMBER OF COMMERCE & RETAIL MERCHANTS ASSOCIATION,Nashville Chamber Of Commerce & Retail Merchants Association
THE ECONOMIC CLUB OF NEW HAVEN,The Economic Club Of New Haven
WORSHIPFUL COMPANY OF CUTLERS,Worshipful Company Of Cutlers
COACHING CLUB,Coaching Club
INTERNATIONAL ASSOCIATION OF MACHINISTS,International Association Of Machinists
TYN-Y-COED,Tyn-y-coed
FRANKLIN CLUB,Franklin Club
CAFE LAFAYETTE,Cafe Lafayette
ALGAZAR HOTEL,Algazar Hotel
JULIUS G. HARTMANN,Julius G. Hartmann
'95 LAW OF COLUMBIAN UNIVERSITY,95 Law Of Columbian University
COLUMBIA CASINO RESTAURANT,Columbia Casino Restaurant
Holland-America Line,Holland-america Line
White Tower Restaurant,White Tower Restaurant
Hotel im Palais Schwarzenberg,Hotel Im Palais Schwarzenberg
Um Rauchtang,Um Rauchtang
Le Moulin D'Orgemont,Le Moulin Dorgemont
Hotel zur Krone,Hotel Zur Krone
Star of the Sea Room,Star Of The Sea Room
Restaurant Laurent,Restaurant Laurent
Wabash,Wabash
Ruby Foo's ,Ruby Foos
'Supper Menu,Supper Menu
Smithville Inn,Smithville Inn
Speisenkarte,Speisenkarte
LÃ¼chow's Restaurant,Lahchows Restaurant
Stebbin's Patio Grill,Stebbins Patio Grill
Washington Arms,Washington Arms
Justine's,Justines
The Butler's Canvasback Inn,The Butlers Canvasback Inn
The Ballroom At Hotel Plaza,The Ballroom At Hotel Plaza
The Concord,The Concord
Lum Engel,Lum Engel
Carlton Hotel,Carlton Hotel
Barbizon Plaza,Barbizon Plaza
Triangle Hofbrau Restaurant,Triangle Hofbrau Restaurant
Toffenetti Restaurant,Toffenetti Restaurant
Chateau Tongariro,Chateau Tongariro
'M.S.''Colombia''''''',M.S.Colombia
Mayflower Hotel,Mayflower Hotel
Le Petit Palais,Le Petit Palais
Michigan Central Railroad,Michigan Central Railroad
The Pennsylvania Lunch,The Pennsylvania Lunch
The Mouquin Restaurant and Wine Co.,The Mouquin Restaurant And Wine Co.
Delmonico's,Delmonicos
 De Luxe',De Luxe
Chin Lee Co. First Class Chop Sooey and American Restaurant,Chin Lee Co. First Class Chop Sooey And American Restaurant
Plankinton House,Plankinton House
ImpÃ©rial Hotel,Impacrial Hotel
Deutsche Liederkranz,Deutsche Liederkranz
CANADIAN PACIFIC RAILWAY COMPANY,Canadian Pacific Railway Company
REVERE HOUSE,Revere House
DISTRICT NO.3 CATHOLIC BENEVOLENT LEGION,District No.3 Catholic Benevolent Legion
UNION PACIFIC DINING CAR SERVICE,Union Pacific Dining Car Service
GRAND UNION HOTEL,Grand Union Hotel
GRISWOLD HOUSE,Griswold House
WHITE STAR LINE,White Star Line
METROPOLE HOTEL,Hotel Metropole
PENNSYLVANIA LIMITED - THE PULLMAN CO.,Pennsylvania Limited - The Pullman Co.
HAMBURG-AMERIKA LINIE - EXPRWSS-STEAMER FURST BISMARCK,Hamburg-amerika Linie - Exprwss-steamer Furst Bismarck
NORDDEUTSCHER LLOYD BREMAN,Norddeutscher Lloyd Breman
RED STAR LINE - ANTWERPEN -NEW YORK,Red Star Line - Antwerpen -new York
RED STAR LINE -,Red Star Line
GRAND OFFICERS' MESS,Grand Officers Mess
DUVAL'S,Duvals
238 EIGHT AVENUE,238 Eight Avenue
POLAND SPRING HOUSE,Poland Spring House
THE LINCOLN CLUB,The Lincoln Club
SINCLAIR HOUSE;,Sinclair House;
GRAND HOTEL DU QUIRINAL,Grand Hotel Du Quirinal
REPUBLICAN CLUB OF THE CITY OF NEW YORK,Republican Club Of The City Of New York
HERTFORD COLLEGE,Hertford College
LOS ANGELES CHAMBER OF COMMERCE,Los Angeles Chamber Of Commerce
THE DUFFERIN,The Dufferin
L. LAFLIN KELLOGG,L. Laflin Kellogg
DENNIS HOTEL,Hotel Dennis
PLEAIDES CLUB,Pleaides Club
SHANLEY'S,Shanleys
PAUL SMITH'S,Paul Smiths
UNIVERSALIST CLUB,Universalist Club
DENNETT'S,Dennetts
BANKERS' CLUB OF CHICAGO,Bankers Club Of Chicago
PLAZA,Plaza
ASHTON HOTEL,Ashton Hotel
ATHELSTAN CLUB,Athelstan Club
WESTERN PAPER BOX MAKERS ASSOC'N.,Western Paper Box Makers Assocn.
GRAND DUKE OF HESSE DARMSTADT,Grand Duke Of Hesse Darmstadt
CITIZENS OF ST. PAUL,Citizens Of St. Paul
THE UNIVERSALIST CLUB,The Universalist Club
(KING EDWARD VII),King Edward Vii
HOTEL WALTON,Hotel Walton
THE POMHAM CLUB,The Pomham Club
SENATE OF THE STATE OF NEW JERSEY,Senate Of The State Of New Jersey
DAUGHTERS OF THE AMERICAN REVOLUTION,Daughters Of The American Revolution
RHODE ISLAND WOMEN'S CLUB,Rhode Island Womens Club
SOUTHERN BERKSHIRE SOCIETY OF NEW YORK,Southern Berkshire Society Of New York
CINCINNATI LODGE OF ELKS NO. 5,Cincinnati Lodge Of Elks No. 5
CONNECTICUT HOTEL ASSOCIATION,Connecticut Hotel Association
W.B.VEIRS ESQ.,W.B.Veirs Esq.
WISCONSIN SOCIETY - SONS OF THE AMERICAN REVOLUTION,Wisconsin Society - Sons Of The American Revolution
SCHOOL BOARD OF NEW ORLEANS,School Board Of New Orleans
WESTMINSTER KENNEL CLUB,Westminster Kennel Club
UNITARIAN CLUB OF NEW YORK,Unitarian Club Of New York
5TH MASS. BATTERY E.,5th Mass. Battery E.
UNION LEAGUE OF MARYLAND,Union League Of Maryland
THE CORINTHIAN YACHT CLUB,The Corinthian Yacht Club
J.C. HARTMANN'S RESTAURNT AND CAFE,J.C. Hartmanns Restaurnt And Cafe
GENEVA SOCIETY-INTERNATIONAL SOCIETY OF HOTEL EMPLOYEES,Geneva Society-international Society Of Hotel Employees
HOTEL NETHRLAND,Hotel Nethrland
THE EVENING WORLD STAFF,The Evening World Staff
NEW YORK MEDICAL UNION,New York Medical Union
PROFESSOR CESARE VIVANTE,Professor Cesare Vivante
PORTLAND COMMERCIAL CLUB,Portland Commercial Club
'97S CLASS DINNER,97s Class Dinner
MARTINSVILLE SANITARIUM,Martinsville Sanitarium
FRANKFURTER HOF,Frankfurter Hof
UNION LEAGUE CLUB OF SAN FRANCISCO,Union League Club Of San Francisco
ARARAT TEMPLE A. A. O. N. M. S.,Ararat Temple A. A. O. N. M. S.
GENERAL KUROKI,General Kuroki
HEADQUARTERS NINTH U.S. CAVALRY OFFICER'S MESS,Headquarters Ninth U.S. Cavalry Officers Mess
TYPOTHETAE OF THE CITY OF NEW YORK,Typothetae Of The City Of New York
POINT O'WOODS ASSOCIATION,Point Owoods Association
Restaurante Tipico,Restaurante Tipico
Restaurant Royal,Restaurant Royal
Hotel Goldener Hirsch,Hotel Goldener Hirsch
Hotel Imperial,Hotel Imperial
Hotel de La Tremoille,Hotel De La Tremoille
Claude's,Claudes
Fischereihafen Restaurant,Fischereihafen Restaurant
Romantik Hotel Rose,Romantik Hotel Rose
Hotel Bachmair,Hotel Bachmair
Ruby Foo's Sun Dial,Ruby Foos Sun Dial
Compagnie GeÌ�neÌ�rale Transatlantique,Compagnie Geì�neì�rale Transatlantique
CafÃ© Conditorei Restaurant,Cafac Conditorei Restaurant
The House Of Lords,The House Of Lords
The San Marcos Resort And Country Club,The San Marcos Resort And Country Club
Grison's Restaurant,Grisons Restaurant
Moultray's Polynesian,Moultrays Polynesian
Tejas,Tejas
Alberg Inn,Alberg Inn
Hotel Und Restaurations Betriebe August Giele & SÅ‘hne,Hotel Und Restaurations Betriebe August Giele & Så‘hne
Stage Delicatessen And Restaurant,Stage Delicatessen And Restaurant
Patisserie Lanciani,Patisserie Lanciani
Pensione Ristorante,Pensione Ristorante
Keiller Restaurant,Keiller Restaurant
Volk's Restaurant,Volks Restaurant
Hotel Statler,Hotel Statler
Oustau De Baumaniere,Oustau De Baumaniere
Cocoanut Grove,Cocoanut Grove
Roger Smith Restaurant,Roger Smith Restaurant
Town And Country,Town And Country
Burlington Route,Burlington Route
Hotel Claremont,Hotel Claremont
Patten Restaurant,Patten Restaurant
Burlington Club,Burlington Club
Constantine's Restaurant,Constantines Restaurant
Royal Hawaiian Moana Hotel,Royal Hawaiian Moana Hotel
S.S. Washington,S.S. Washington
The Carolina Inn,The Carolina Inn
Hotel Roosevelt,Hotel Roosevelt
Hotel Buffalo,Hotel Buffalo
'S.S. ''California''''''',S.S. California
The Brown Palace Hotel,The Brown Palace Hotel
The Washington Hotel,The Washington Hotel
Connaught Rooms,Connaught Rooms
College Inn Chicago,College Inn Chicago
Clarendon Hotel,Clarendon Hotel
Greehut-Siegel Cooper Co.,Greehut-siegel Cooper Co.
Lion D'or Table D'Hote,Lion Dor Table Dhote
Louis Martin's,Louis Martins
[Not Given],not Given
Barker's Restaurant and Lunch Room,Barkers Restaurant And Lunch Room
Ulmer Park,Ulmer Park
N.C.R. Officers Club,N.C.R. Officers Club
Hotel Rector,Hotel Rector
PULLMAN DINING CAR,Pullman Dining Car
CANADIAN PACIFIC RAILWAY CO. - S.S. ALBERTA,Canadian Pacific Railway Co. - S.S. Alberta
PHONIX HOTEL,Hotel Phonix
TWENTIETH CENTURY ALDERMANIR ASSOCIATION,Twentieth Century Aldermanir Association
BOROUGH HALL,Borough Hall
OLD GUARD ALBANY ZOUAVE CADETS,Albany Zouave Cadets - Old Guard
CHANCELLOR WALWORTH LODGE NO. 271 F.&A.M.,Chancellor Walworth Lodge No. 271 F.&a.M.
THE NAVY YARD,The Navy Yard
THE FLORIDA BREWING CO.,The Florida Brewing Co.
PENN. RR - PULLMAN DINING CAR SERVICE,Penn Rr - Pullman Dining Car Service
CIE. GLE. TRANSATLANTIQUE,Cie Gle Transatlantique
CREDIT MENS' ASSOCIATIOOOON OF BALTIMORE,Credit Mens Associatioooon Of Baltimore
HOTEL ASPINWALL,Hotel Aspinwall
HOTEL DE DIJON,Hotel De Dijon
CINCINNATI'S GRAND HOTEL,Cincinnatis Grand Hotel
BETA PI,Beta Pi
HALLORAN'S RESTAURNT,Hallorans Restaurnt
OCEAN HOUSE,Ocean House
DEMOCRATS OF DALLAS COUNY,Democrats Of Dallas Couny
MT. MORRIS ROYAL ARCH CHAPTER NO.137,Mt. Morris Royal Arch Chapter No.137
(COUNT & COUNTESS DE FRANQUEVILLE),Count & Countess De Franqueville
HOLLAND SOCIETY,Holland Society
SELECT COUNCIL CITY OF PHILADELPHIA,Select Council City Of Philadelphia
COMMITTEE OF THE COOKS AND PASTRY COOKS ASSOCIATION OF NEW YORK,Committee Of The Cooks And Pastry Cooks Association Of New York
NELSON HOUSE,Nelson House
LEON FLOURET CAFE & HOTEL,Leon Flouret Cafe & Hotel
NAIONAL HOSE SHOW ASSOCIATION OF AMERICA,Naional Hose Show Association Of America
BATES (HOTEL),Bates Hotel
(LE ROI HAAKON VII),Le Roi Haakon Vii
MANHATTAN BEACH HOTEL,Manhattan Beach Hotel
AMERICAN ASSOCIATION OF PUBLIC ACCOUNTANTS,American Association Of Public Accountants
ST. ANDREW'S SOCIETY,St. Andrews Society
TWENTIETH CENTURY ALDERMANIC ASSOCIATION,Twentieth Century Aldermanic Association
HEAD HALLMEN'S ASSOCIATION,Head Hallmens Association
MR. SHIUZO ISUKAHARA,Mr. Shiuzo Isukahara
PATRIA CLUB OF NEW YORK,Patria Club Of New York
HOME MADE LUNCH ROOM,Home Made Lunch Room
FRIENDS OF E.C.STANTON AND ANTON SEIDL,Friends Of E.C.Stanton And Anton Seidl
COLONIAL CONFERENCE,Colonial Conference
KING GEORGE,King George
LAUREL IN THE PINES,Laurel In The Pines
THE SCRANTON ENGINEERS' CLUB,The Scranton Engineers Club
GREAT NORTHERN RAILWAY,Great Northern Railway
NATIONAL HARDWARE ASSOCIATION,National Hardware Association
AMERICAN INSTITUTE OF ELECTRICAL ENGINEERS,American Institute Of Electrical Engineers
COLONIA ESPANOLA EN CUBA,Colonia Espanola En Cuba
NEW YORK CENTRAL & HUDSON RIVER R.R..,New York Central & Hudson River R.R.
SMITH & MC NELL,Smith & Mc Nell
BROOKLYN DAILY EAGLE STAFF,Brooklyn Daily Eagle Staff
(W.W.ASTOR),W.W.Astor
LITCHFIELD COUNTY BAR,Litchfield County Bar
AMERICAN CLUB; THE,American Club; The
OCCIDENTAL HOTEL,Occidental Hotel
Hotel d'Angleterre,Dangleterre Hotel
Cellini,Cellini
Canlis',Canlis
Harborside Inn,Harborside Inn
Le Restaurant d'Olympe,Le Restaurant Dolympe
American Association of State Highway Officials,American Association Of State Highway Officials
'Tea Menu,Tea Menu
Hotel Des Trois Rois Au Rhin Bale,Hotel Des Trois Rois Au Rhin Bale
Molly Pitcher Inn,Molly Pitcher Inn
Motor Bar,Motor Bar
Commander Hotel,Commander Hotel
Pick Congress Hotel   Gold Room,Pick Congress Hotel Gold Room
The Cobblestones,The Cobblestones
Park Row,Park Row
San Souci   Beverly Wilshire Hotel,San Souci Beverly Wilshire Hotel
Yankee Silversmith Inn,Yankee Silversmith Inn
Le Park Schenly,Le Park Schenly
La Mallorouina,La Mallorouina
Heidelberg Casino,Heidelberg Casino
Henri Iv Restaurant,Henri Iv Restaurant
Hauptbahnhof GaststÃ¤tten Karlsruhe,Hauptbahnhof Gaststaotten Karlsruhe
Harry Cipriani,Harry Cipriani
The Greenbrier,The Greenbrier
The Green Spring Inn,The Green Spring Inn
Adam Rooms,Adam Rooms
Fort Royal,Fort Royal
Manny Wolf's Chop House,Manny Wolfs Chop House
The Charleston Garden,The Charleston Garden
Grison's Chicken House,Grisons Chicken House
Terrace Danieli Restaurant,Terrace Danieli Restaurant
Officer's Club,Officers Club
Pig'n Whistle,Pign Whistle
Green Gables Hotel,Green Gables Hotel
House Of Representatives Restaurant,House Of Representatives Restaurant
Chateau Frontenac,Chateau Frontenac
Skansen,Skansen
Casino   Central Park,Casino Central Park
Pine Forest Inn,Pine Forest Inn
The Samarkand,The Samarkand
Chalfonte,Chalfonte
The Bellvue-Stratford,The Bellvue-stratford
The American Museum of Natural History,The American Museum Of Natural History
Fleischmann's,Fleischmanns
Wolpin's Restaurant,Wolpins Restaurant
Hotel Fairmont,Fairmont Hotel
Banquet Hotel Statler,Banquet Hotel Statler
Bismark Garden,Bismark Garden
The Russian Inn,The Russian Inn
Broadway Central Hotel New York,Broadway Central Hotel New York
Hutchins Hotel,Hutchins Hotel
Sprague Restaurant and CafÃ©,Sprague Restaurant And Cafac
HOTEL MARLBOROUGH,Hotel Marlborough
CANADIAN PACIFIC RAILWAY,Canadian Pacific Railway
VETERANS AMERICAN GUARD,Veterans American Guard
DEL CORONADO HOTEL,Hotel Del Coronado
GEYER'S DAIRY RESTAURANT,Geyers Dairy Restaurant
IMPERIAL HOTEL LIMITED,Imperial Hotel Limited
NIPPON YUSEN KAISHA - S.S. KASUGA,Nippon Yusen Kaisha - S.S. Kasuga
NEW ENGLAND SOCIETY IN THE CITY OF BROOKLYN,New England Society In The City Of Brooklyn
SAN JUAN HOTEL,San Juan Hotel
CHICAGO ATHLETIC ASSOCIATION,Chicago Athletic Association
THE AERO CLUB OF THE UNITED KINGDOM,The Aero Club Of The United Kingdom
MURAT (SHRINERS?),Murat Shriners
HOTEL THORNDIKE,Hotel Thorndike
NIPPON YUSEN KAISHA - S.S. KOBE MARU,Nippon Yusen Kaisha - S.S. Kobe Maru
THE NEW FALMOUTH HOTEL,The New Falmouth Hotel
PRESIDENT OF JAMESTOWN EXPOSITION COMPANY (H. ST. GEORGE TUCKER)  AND MRS. TUCKER,President Of Jamestown Exposition Company H. St. George Tucker And Mrs. Tucker
ALCAZAR HOTEL,Alcazar Hotel
MAIL STEAMSHIP COMPANY,Mail Steamship Company
A.B.deFRECE,A.B.Defrece
BUFFALO CLUB,Buffalo Club
NEW HAVEN COLONY HISTORICAL SOCIETY,New Haven Colony Historical Society
U.S.S. RALEIGH,U.S.S. Raleigh
RICHMOND CLUB (?),Richmond Club 
MCDONALD'S OYSTER HOUSE,Mcdonalds Oyster House
R.I. ALPHA OF PHI DELTA THETA,R.I. Alpha Of Phi Delta Theta
NEW ORLEANS LAW ASSOCIATION,New Orleans Law Association
MUSICAL MUTUAL PROTECTIVE UNION OF N.Y. (LOCAL NO. 1),Musical Mutual Protective Union Of N.Y. Local No. 1
ORDER OF UNITED AMERICANS,Order Of United Americans
EDWARD F. LANG'S LADIES' AND GENT'S LUNCH ROOM AND RESTAURANT,Edward F. Langs Ladies And Gents Lunch Room And Restaurant
SATURDAY AFTERNOON CLUB,Saturday Afternoon Club
HAWK & WETHERBEE,Hawk & Wetherbee
REUBEN H. LLOYD,Reuben H. Lloyd
