original_sponsor,clustered_sponsor
"MARSHFIELD CLUB","MARSHFIELD CLUB"
"GILSEY HOUSE","GILSEY HOUSE"
"HOTEL ASSOCIATION OF NYC","HOTEL ASSOCIATION OF NYC"
"FELISA BALBIN","FELISA BALBIN"
"ROISSEALMONT (?)","ROISSEALMONT (?)"
"PICCADILLY CLUB","PICCADILLY CLUB"
"MISSISSIPPI VALLEY MEDICAL ASSOCIATION","MISSISSIPPI VALLEY MEDICAL ASSOCIATION"
"CHENANGO COUNTY SOCIETY OF THE CITY OF NEW YORK","CHENANGO COUNTY SOCIETY OF THE CITY OF NEW YORK"
"NATIONAL ACADEMY OF DESIGN","NATIONAL ACADEMY OF DESIGN"
"La Taverna","La Taverna"
"Chez Francis","Chez Francis"
"Au Quai D'Orsay","Au Quai D'Orsay"
"Le Camelia","Le Camelia"
"Templebar","Templebar"
"[New York Central System]","[New York Central System]"
"Wabash [Railway Company]","Wabash [Railway Company]"
"Carl Hoppl's Valley Stream Park Inn","Carl Hoppl's Valley Stream Park Inn"
"unknown","unknown"
"Lunch At Rowdy Home For Theodore Roosevelt.","Lunch At Rowdy Home For Theodore Roosevelt."
"'Conrad's Salon   Waldorf Astoria Hotel (New York","'Conrad's Salon   Waldorf Astoria Hotel (New York"
"Bloomingdale's","Bloomingdale's"
"Hotel Alte Post","Hotel Alte Post"
"The Morgan House","The Morgan House"
"Astrojet Room   American Airlines Building (Jfk)","Astrojet Room   American Airlines Building (Jfk)"
"Haussner's","Haussner's"
"L'hôtel St. Regis","L'hôtel St. Regis"
"Hotel Cabo San Lucas","Hotel Cabo San Lucas"
"The Woodlands","The Woodlands"
"Wayside Inn","Wayside Inn"
"The St. Charles","The St. Charles"
"The Fulton","The Fulton"
"Tea Room Plätzli","Tea Room Plätzli"
"The Caravan","The Caravan"
"Café Brenda","Café Brenda"
"Table D'hote","Table D'hote"
"Alpine Room","Alpine Room"
"Governors Club","Governors Club"
"Moby Dick","Moby Dick"
"The Hotel Astor  The Belvedere Room","The Hotel Astor  The Belvedere Room"
"Farnam Tavern","Farnam Tavern"
"Le Riveria","Le Riveria"
"Wilder's","Wilder's"
"Ledoyen","Ledoyen"
"Die Rollenhagen Stube","Die Rollenhagen Stube"
"Von's Café","Von's Café"
"Sekon In The Palms","Sekon In The Palms"
"Hoe Sai Gai's","Hoe Sai Gai's"
"Ferris Restaurant","Ferris Restaurant"
"Murray Hill Hotel","Murray Hill Hotel"
"Steinberg's Dairy","Steinberg's Dairy"
"Dorchester Hotel","Dorchester Hotel"
"The Hotel Commodore","The Hotel Commodore"
"'S.S. ''France'''''''","'S.S. ''France'''''''"
"Hotel Almendares","Hotel Almendares"
"'U.S.M.S.S. ''President Arthur'''''''","'U.S.M.S.S. ''President Arthur'''''''"
"South Grill Room","South Grill Room"
"Wm. F. Healy's 42nd St. Grill","Wm. F. Healy's 42nd St. Grill"
"The Pullman Company","The Pullman Company"
"Grand Hotel - Rome","Grand Hotel - Rome"
"Café Savarin","Café Savarin"
"Conrad's Bakery and Restaurant","Conrad's Bakery and Restaurant"
"Elks' Club House","Elks' Club House"
"Spilker's Restaurant and Grill Room","Spilker's Restaurant and Grill Room"
"The New York Athletic Club of the City of New York","The New York Athletic Club of the City of New York"
"Waldorf-Astoria: South Gate","Waldorf-Astoria: South Gate"
"Martin's","Martin's"
"Explorers Club","Explorers Club"
"OCCIDENTAL & ORIENTAL STEAMSHIP CO.","OCCIDENTAL & ORIENTAL STEAMSHIP CO."
"ARLINGTON hOTEL","ARLINGTON hOTEL"
"PRATT INSTITUTE GRADUATES ASSOCIATION LIBRARY SCHOOL","PRATT INSTITUTE GRADUATES ASSOCIATION LIBRARY SCHOOL"
"XIII CLUB","XIII CLUB"
"JOINT SPECIAL COMMITTEE OF COUNCILS OF CITY OF PHILADELPHIA ON WORLD'S COLUMBIAN EXHIBITION","JOINT SPECIAL COMMITTEE OF COUNCILS OF CITY OF PHILADELPHIA ON WORLD'S COLUMBIAN EXHIBITION"
"ELECTRIC TOWER RESTAURANT - BAILEY CATERING CO.","ELECTRIC TOWER RESTAURANT - BAILEY CATERING CO."
"GENERAL D. NICASIO MOUTES SIERRA","GENERAL D. NICASIO MOUTES SIERRA"
"SOCIETY OF COLONIAL WARS IN THE STATE OF NEW YORK","SOCIETY OF COLONIAL WARS IN THE STATE OF NEW YORK"
"LUCULLUS CLUB","LUCULLUS CLUB"
"HOTEL ALBERT","HOTEL ALBERT"
"MERCHANTS' CLUB","MERCHANTS' CLUB"
"9TH REGIMENT VETERAN ASSOCIATION","9TH REGIMENT VETERAN ASSOCIATION"
"ARKWRIGHT CLUB OF NEW-YORK","ARKWRIGHT CLUB OF NEW-YORK"
"VIRGINIA HOTEL","VIRGINIA HOTEL"
"LARKIN HOUSE","LARKIN HOUSE"
"PAIN'S FIREWORKS CO. EMPLOYEES","PAIN'S FIREWORKS CO. EMPLOYEES"
"SUBURBAN PRESS ASS'N","SUBURBAN PRESS ASS'N"
"HOLLAND-AMERICA LINE","HOLLAND-AMERICA LINE"
"JOSEPHINE","JOSEPHINE"
"HOTEL LYON","HOTEL LYON"
"AU CHAT NOIR HOTEL AND RESTAURANT","AU CHAT NOIR HOTEL AND RESTAURANT"
"(NOT NOTED)","(NOT NOTED)"
"SHERIFF'S JURY SECOND PANEL","SHERIFF'S JURY SECOND PANEL"
"MR. BARTON H. GRUNDY","MR. BARTON H. GRUNDY"
"UNIVERSAL COOKERY AND FOOD ASSOCIATION","UNIVERSAL COOKERY AND FOOD ASSOCIATION"
"COMRADES AND FRIENDS OF GENERAL MICHAEL KIRWIN","COMRADES AND FRIENDS OF GENERAL MICHAEL KIRWIN"
"ROYAL ARMY MEDICAL COLLEGE","ROYAL ARMY MEDICAL COLLEGE"
"UNITED STATES SHIP VERMONT","UNITED STATES SHIP VERMONT"
"MR. AND MRS. DAVID E. WARD","MR. AND MRS. DAVID E. WARD"
"MOBILE COMMERCIAL CLUB","MOBILE COMMERCIAL CLUB"
"HOPE HIGH SCHOOL","HOPE HIGH SCHOOL"
"EXPLORERS CLUB - ARCTIC CLUB","EXPLORERS CLUB - ARCTIC CLUB"
"SMITH'S DINING ROOM","SMITH'S DINING ROOM"
"NORDDEUTSCHER REGATTA-VEREIN","NORDDEUTSCHER REGATTA-VEREIN"
"KING OF SIAM","KING OF SIAM"
"THE GERLAGH","THE GERLAGH"
"THE PILGRIMS OF THE U.S.","THE PILGRIMS OF THE U.S."
"EUROPA - COLUMBIA","EUROPA - COLUMBIA"
"GRAND MASTER OF NEW YORK","GRAND MASTER OF NEW YORK"
"Paul's Red Ox Grill","Paul's Red Ox Grill"
"Praha","Praha"
"Plomberg","Plomberg"
"Les Grande Marches","Les Grande Marches"
"Karl Ratzsch's","Karl Ratzsch's"
"George's Restaurant","George's Restaurant"
"CHEZ JOSEPHINE","CHEZ JOSEPHINE"
"Park Hotel Grill Restaurant","Park Hotel Grill Restaurant"
"Doorm Hotel","Doorm Hotel"
"Spatenhaus an der Oper","Spatenhaus an der Oper"
"Ernest Marples Cellars","Ernest Marples Cellars"
"'Cafe ''Alte Bastion'''","'Cafe ''Alte Bastion'''"
"Ramponneau","Ramponneau"
"La Medina ","La Medina "
"Lutèce","Lutèce"
"'Annual Dinner Of The New York University Alumni Association","'Annual Dinner Of The New York University Alumni Association"
"Regina Palast Hotel","Regina Palast Hotel"
"The Canterbury Luncheon Club","The Canterbury Luncheon Club"
"Ristortante Campidoglio","Ristortante Campidoglio"
"Warrenton Motor Lodge Restaurant","Warrenton Motor Lodge Restaurant"
"Hotel George Washington","Hotel George Washington"
"Zunft Zur Saffran","Zunft Zur Saffran"
"Santa Fe Gourmet","Santa Fe Gourmet"
"Bar Lui","Bar Lui"
"Caledonian Hotel","Caledonian Hotel"
"United","United"
"'Restaurante \A Quinta\'''''","'Restaurante \A Quinta\'''''"
"Good Eats Café","Good Eats Café"
"Hilton Hotel","Hilton Hotel"
"The Grand Ballroom Of The Hotel Plaza","The Grand Ballroom Of The Hotel Plaza"
"Himmelsleiter","Himmelsleiter"
"Amity Hall Inn","Amity Hall Inn"
"The Beau Rivage","The Beau Rivage"
"Kyoto Hotel","Kyoto Hotel"
"Lackawanna Railroad","Lackawanna Railroad"
"Hotel Sekon In The Palms","Hotel Sekon In The Palms"
"'S.S. ''Veendam'''''''","'S.S. ''Veendam'''''''"
"Old Riverton Inn","Old Riverton Inn"
"The French Village","The French Village"
"2601 Parkway","2601 Parkway"
"Penn Stroud Hotel","Penn Stroud Hotel"
"Canadian Pacific","Canadian Pacific"
"National Vaudeville Artists Club","National Vaudeville Artists Club"
"The California Limited","The California Limited"
"Restaurant de la Villa des Fleurs","Restaurant de la Villa des Fleurs"
"Parker's","Parker's"
"Home of Dr. Edgar Starr Barney and his sister Miss M. Eleanor Mills","Home of Dr. Edgar Starr Barney and his sister Miss M. Eleanor Mills"
"'S.S. ''Frederik VIII'''","'S.S. ''Frederik VIII'''"
"The Hannaberry & Moran Dining Room","The Hannaberry & Moran Dining Room"
"Theodore Muller Ladies' and Gentlemen's Oyster and Chop House","Theodore Muller Ladies' and Gentlemen's Oyster and Chop House"
"Rivadavia","Rivadavia"
"Donahue's Lunch","Donahue's Lunch"
"The Cortland","The Cortland"
"The Lincoln Club","The Lincoln Club"
"Steamer Rosedale","Steamer Rosedale"
"Manhattan Casino","Manhattan Casino"
"New Park Hotel","New Park Hotel"
"CHI PSI FRATERNITY","CHI PSI FRATERNITY"
"RHODE ISLAND MEDICAL SOCIETY","RHODE ISLAND MEDICAL SOCIETY"
"SHERMAN SQUARE HOTEL","SHERMAN SQUARE HOTEL"
"MONTEREY HOTEL","MONTEREY HOTEL"
"BOARD OF TRADE","BOARD OF TRADE"
"GORDON HOTEL","GORDON HOTEL"
"PRINCESS ANNE","PRINCESS ANNE"
"YORK HOTEL","YORK HOTEL"
"NORDDEUTSCHER LLOYD - BREMEN","NORDDEUTSCHER LLOYD - BREMEN"
"(NORTHERN STEAMSHIP COMPANY/GREAT NORTHERN RY LINE.)","(NORTHERN STEAMSHIP COMPANY/GREAT NORTHERN RY LINE.)"
"GRAND HOTEL CENTRAL","GRAND HOTEL CENTRAL"
"LOUISVILLE & NASHVILLE RAILROAD - THE PULLMANA CO.","LOUISVILLE & NASHVILLE RAILROAD - THE PULLMANA CO."
"CAFE BOULARD","CAFE BOULARD"
"OCEANIC SREAMSHIP COMPANY - SIERRA","OCEANIC SREAMSHIP COMPANY - SIERRA"
"MUNICIPAL ART SOCIETY","MUNICIPAL ART SOCIETY"
"SENATOR SQUIRE","SENATOR SQUIRE"
"KING UMBERTO AND QUEEN MARGHARITA","KING UMBERTO AND QUEEN MARGHARITA"
"STATE OF OHIO MILITARY ORDER","STATE OF OHIO MILITARY ORDER"
"W.J.FILBERT","W.J.FILBERT"
"HOTEL ALCAZAR","HOTEL ALCAZAR"
"GEISER GRAND HOTEL","GEISER GRAND HOTEL"
"CLINTON B. FISK PROHIBITION CLUB","CLINTON B. FISK PROHIBITION CLUB"
"(GERMAN GOV.)","(GERMAN GOV.)"
"TIMOTHY L. WOODRUFF","TIMOTHY L. WOODRUFF"
"R.G.(?)","R.G.(?)"
"HOTEL MEN'S MUTUAL BENEFIT AASOCIATION LADIES","HOTEL MEN'S MUTUAL BENEFIT AASOCIATION LADIES"
"DOLAN'S RESTAURANT","DOLAN'S RESTAURANT"
"BRIGHTON BEACH HOTEL","BRIGHTON BEACH HOTEL"
"RESTAURANT GRIFFOU","RESTAURANT GRIFFOU"
"HARVARD UNIVERSITY CLASS OF 1863","HARVARD UNIVERSITY CLASS OF 1863"
"POMHAM CLUB","POMHAM CLUB"
"HOTEL PHONIX","HOTEL PHONIX"
"MANHANSET HOUSE; UNITED STATES HOTEL","MANHANSET HOUSE; UNITED STATES HOTEL"
"THE SOUTHERN BERKSHIRE SOCIETY OF NEW YORK","THE SOUTHERN BERKSHIRE SOCIETY OF NEW YORK"
"THE COURT SCRIBES","THE COURT SCRIBES"
"HOTEL SAN REMO","HOTEL SAN REMO"
"LOUISE CLOVER BOLDT","LOUISE CLOVER BOLDT"
"MOUNT NELSON HOTEL","MOUNT NELSON HOTEL"
"CASINO CENTRAL PARK","CASINO CENTRAL PARK"
"AMERCIAN GAS LIGHT ASSOCIATION","AMERCIAN GAS LIGHT ASSOCIATION"
"LADIES' RESTAURANT","LADIES' RESTAURANT"
"LA CHAMBRE DE COMMERCE FRANCAISE DE NEW YORK","LA CHAMBRE DE COMMERCE FRANCAISE DE NEW YORK"
"THE SCHNORER CLUB OF MORRISANIA","THE SCHNORER CLUB OF MORRISANIA"
"MASTER BUILDERS' EXCHANGE OF PHILADELPHIA","MASTER BUILDERS' EXCHANGE OF PHILADELPHIA"
"ST. MARTIN'S LODGE NO.2455","ST. MARTIN'S LODGE NO.2455"
"NORDDEUTSCHER LLOYD--BREMEN-AMERICA","NORDDEUTSCHER LLOYD--BREMEN-AMERICA"
"N.A.P.D.","N.A.P.D."
"GESANG-VEREINS","GESANG-VEREINS"
"BOARD OF TRADE OF JERSEY CITY","BOARD OF TRADE OF JERSEY CITY"
"CITIZENS OF CLEVELAND","CITIZENS OF CLEVELAND"
"FORTY CLUB","FORTY CLUB"
"MOUNT PLEASANT HOUSE","MOUNT PLEASANT HOUSE"
"Hotel Euler","Hotel Euler"
"Grand Hotel","Grand Hotel"
"Hotel Frankfurter Hof","Hotel Frankfurter Hof"
"Chez Les Anges","Chez Les Anges"
"Pastel","Pastel"
"The Chronicle","The Chronicle"
"Restaurant Alt Nuernberg","Restaurant Alt Nuernberg"
"Breidenbacher Hof","Breidenbacher Hof"
"Quartermaster Corps","Quartermaster Corps"
"San Francisco Commercial Club","San Francisco Commercial Club"
"The Carlyle","The Carlyle"
"JOHNNY UNITAS' GOLDEN ARM","JOHNNY UNITAS' GOLDEN ARM"
"The London Grill","The London Grill"
"The Hague","The Hague"
"The Merry Turtle","The Merry Turtle"
"Bethlehem Steel Club","Bethlehem Steel Club"
"Taro","Taro"
"'Paquebot \France\'''''","'Paquebot \France\'''''"
"Aida's East","Aida's East"
"Alfe Kanzlei","Alfe Kanzlei"
"Fritzel's","Fritzel's"
"Sydney's","Sydney's"
"[Restaurant Name And/Or Location Not Given]","[Restaurant Name And/Or Location Not Given]"
"S. S. President Wilson","S. S. President Wilson"
"Laurel In The Pines","Laurel In The Pines"
"Hotel Lincoln","Hotel Lincoln"
"O'donnell's","O'donnell's"
"Royal York Hotel","Royal York Hotel"
"Guaranty Trust Company Of New York","Guaranty Trust Company Of New York"
"The Towers Hotel","The Towers Hotel"
"'R.M.S. ''Veendam'''''''","'R.M.S. ''Veendam'''''''"
"Hotel Walt Whitman","Hotel Walt Whitman"
"Hotel Beau Rivage Luzern","Hotel Beau Rivage Luzern"
"The Lyric Theatre","The Lyric Theatre"
"Bevan House","Bevan House"
"The Brooklyn University Club","The Brooklyn University Club"
"Conrad's","Conrad's"
"Sinclair Café and Restaurant","Sinclair Café and Restaurant"
"Drake's Restaurant","Drake's Restaurant"
"Boylston Café","Boylston Café"
"Press Club","Press Club"
"Buffalo Club","Buffalo Club"
"Café Safran","Café Safran"
"Claremont","Claremont"
"Riggs'","Riggs'"
"The Spalding","The Spalding"
"'R.M.S. ''Lusitania'''","'R.M.S. ''Lusitania'''"
"Zentral Theater Terrace","Zentral Theater Terrace"
"U.S.M.S. NEW YORK","U.S.M.S. NEW YORK"
"ASSOCIATION OF EMPLOYING BOOKBINDERS","ASSOCIATION OF EMPLOYING BOOKBINDERS"
"MAGNETIC CLUB","MAGNETIC CLUB"
"RED STAR LINE - S.S.WESTERNLAND","RED STAR LINE - S.S.WESTERNLAND"
"BOHEMIAN CLUB","BOHEMIAN CLUB"
"ALTA VISTA HOTEL (?)","ALTA VISTA HOTEL (?)"
"COOLEY'S","COOLEY'S"
"HANSELAMANN-LOGE NO. 208","HANSELAMANN-LOGE NO. 208"
"HAMBURG AMERIKA LINIE","HAMBURG AMERIKA LINIE"
"NORDDEUTECHER LLOYD BREMEN","NORDDEUTECHER LLOYD BREMEN"
"TEUTONIA LODGE 617 F. & A.M.","TEUTONIA LODGE 617 F. & A.M."
"NORDDEUTCHER LLOYD BREMEN","NORDDEUTCHER LLOYD BREMEN"
"NEW BINGHAM HOTEL","NEW BINGHAM HOTEL"
"ROYAL POINCIANA HOTEL","ROYAL POINCIANA HOTEL"
"NAVY LEAGUE OF THE UNITED STATES","NAVY LEAGUE OF THE UNITED STATES"
"HOTEL ASSOCIATION OF NEW YORK CITY","HOTEL ASSOCIATION OF NEW YORK CITY"
"XTNEXRTHE QUEEN'S HOTEL","XTNEXRTHE QUEEN'S HOTEL"
"SPRINGFIELD CALEDONIAN CLUB","SPRINGFIELD CALEDONIAN CLUB"
"DINER DE S.M.","DINER DE S.M."
"SMITH AND MCNELLS","SMITH AND MCNELLS"
"A FEW OF HIS FRIENDS","A FEW OF HIS FRIENDS"
"TRAINOR'S HOTEL RESTAURANT","TRAINOR'S HOTEL RESTAURANT"
"MINISTER OF AUSTRIA","MINISTER OF AUSTRIA"
"ANCIENT LODGE NO. 724 F. & A.M.","ANCIENT LODGE NO. 724 F. & A.M."
"CARRIAGE BUILDERS NATIONAL ASSOCIATION","CARRIAGE BUILDERS NATIONAL ASSOCIATION"
"KIKAJIRA ISHII","KIKAJIRA ISHII"
"CATHOLIC CLUB","CATHOLIC CLUB"
"BRITISH COLONY OF HAVANNA","BRITISH COLONY OF HAVANNA"
"SONS OF NEW HAMPSHIRE","SONS OF NEW HAMPSHIRE"
"GERMAN UNION LOGE","GERMAN UNION LOGE"
"YALE UNIVERSITY","YALE UNIVERSITY"
"TERRACE BOWLING CLUB","TERRACE BOWLING CLUB"
"PITTSBURGH WHOLESALE LUMBER DEALERS ASSOCIATION","PITTSBURGH WHOLESALE LUMBER DEALERS ASSOCIATION"
"BEGRABNISFEIER FUR HERRN BUNDESRAT DR. SCHENK","BEGRABNISFEIER FUR HERRN BUNDESRAT DR. SCHENK"
"CONCORDE CHAPTER NO.2 R.A.M.","CONCORDE CHAPTER NO.2 R.A.M."
"OFFERCIDO EM NOME DO GOVERNO BRAZILEIRO PELO MINSTRO DE ESTADO DAS RELACOES EXTERIORES","OFFERCIDO EM NOME DO GOVERNO BRAZILEIRO PELO MINSTRO DE ESTADO DAS RELACOES EXTERIORES"
"ROANOKE ASSOCIATES","ROANOKE ASSOCIATES"
"NEW YORK CLUB","NEW YORK CLUB"
"GLEN ISLAND GRAND CAFE","GLEN ISLAND GRAND CAFE"
"LA VICOMTESSE PARKER","LA VICOMTESSE PARKER"
"BREAKFAST GIVEN BY MR. M. C. D. BORDEN","BREAKFAST GIVEN BY MR. M. C. D. BORDEN"
"MASSACHUSETTS SOCIETY OF COLONIAL WARS","MASSACHUSETTS SOCIETY OF COLONIAL WARS"
"NEW MEXICO MEDICAL ASSOCIATION","NEW MEXICO MEDICAL ASSOCIATION"
"PIETRO CAPOZZOLI & LINA DE OPTATIS","PIETRO CAPOZZOLI & LINA DE OPTATIS"
"GE0RGE W. ELKINS","GE0RGE W. ELKINS"
"THE SILK ASSOCIATION OF AMERICA","THE SILK ASSOCIATION OF AMERICA"
"KIND WORDS CLUB;","KIND WORDS CLUB;"
"NEWSPAPER FRIENDS OF MR. JOHN T. MCCALL","NEWSPAPER FRIENDS OF MR. JOHN T. MCCALL"
"HOTEL TEPLER HAUS","HOTEL TEPLER HAUS"
"AALCAZAR HOTEL","AALCAZAR HOTEL"
"UNIVERSAL FOOD AND COOKERY ASSOCIATION (NORTH OF ENGLAND BRANCH)","UNIVERSAL FOOD AND COOKERY ASSOCIATION (NORTH OF ENGLAND BRANCH)"
"PHILOMATH CLUB","PHILOMATH CLUB"
"VEREIN FREUNDSCHAFT (FRIENDSHIP CLUB?)","VEREIN FREUNDSCHAFT (FRIENDSHIP CLUB?)"
"THE NATIONAL BOARD OF TRADE","THE NATIONAL BOARD OF TRADE"
"SILK BOWLING LEAGUE","SILK BOWLING LEAGUE"
"NEW YORK LIFE INSURANCE CO.","NEW YORK LIFE INSURANCE CO."
"Lufthansa","Lufthansa"
"Le Gavroche","Le Gavroche"
"Bar Angleterre","Bar Angleterre"
"Restaurant Cuttelin","Restaurant Cuttelin"
"Russian Tea Room","Russian Tea Room"
"Doral Park Avenue Hotel","Doral Park Avenue Hotel"
"Gewandhaus-Trinffeller","Gewandhaus-Trinffeller"
"Fiorello's","Fiorello's"
"Le Delmonico","Le Delmonico"
"Humplmayr","Humplmayr"
"Josephine Chez Dumonet","Josephine Chez Dumonet"
"Yale Club of New York","Yale Club of New York"
"San Francisco Overland Limited","San Francisco Overland Limited"
"Great Norther Railway","Great Norther Railway"
"New Shanghai","New Shanghai"
"Fred Harvey","Fred Harvey"
"U.S.M.S. St Louis. Third Class Bill Of Fare","U.S.M.S. St Louis. Third Class Bill Of Fare"
"'Annual Dinner","'Annual Dinner"
"The Bermudiana","The Bermudiana"
"The Culinary Institute Of America","The Culinary Institute Of America"
"Le Quarte Saisons","Le Quarte Saisons"
"Cathay Pacific","Cathay Pacific"
"The Forum Of The Twelve Caesars","The Forum Of The Twelve Caesars"
"Emmeline's Raw Bar","Emmeline's Raw Bar"
"Nűrnberger Bratwurstglőrkl","Nűrnberger Bratwurstglőrkl"
"S.S. Flandre","S.S. Flandre"
"T.S. Bremen","T.S. Bremen"
"Hotel Algonquin","Hotel Algonquin"
"Commerce Club","Commerce Club"
"Colonade Restaurant","Colonade Restaurant"
"News Center Restaurant","News Center Restaurant"
"Grill Car","Grill Car"
"The Sherry Frontenac","The Sherry Frontenac"
"Caronia","Caronia"
"S.S. America","S.S. America"
"Lorenzo's","Lorenzo's"
"Strawberry Inn","Strawberry Inn"
"Tony's Italian Kitchen","Tony's Italian Kitchen"
"Ritz Carlton Hotel Ballroom","Ritz Carlton Hotel Ballroom"
"Statler Hotel","Statler Hotel"
"'Guido Restaurant","'Guido Restaurant"
"The Manhattan Room","The Manhattan Room"
"Kew Gardens Jewish Center","Kew Gardens Jewish Center"
"Clara May Downey's Olney Inn","Clara May Downey's Olney Inn"
"Empress Of Australia","Empress Of Australia"
"'S.S. ''Europa'''''''","'S.S. ''Europa'''''''"
"'S.S. ''Conte Di Savoia'''''''","'S.S. ''Conte Di Savoia'''''''"
"Hotel Plaza","Hotel Plaza"
"Anderton's Hotel","Anderton's Hotel"
"The Manger","The Manger"
"Hotel McAlpin","Hotel McAlpin"
"Hofbrau Haus","Hofbrau Haus"
"Hotel Breevort","Hotel Breevort"
"Fifth Avenue Restaurant","Fifth Avenue Restaurant"
"Hotel Bristol","Hotel Bristol"
"Brooklyn Club","Brooklyn Club"
"Hotel Oakland","Hotel Oakland"
"Met-Life Building","Met-Life Building"
"Brooklyn Engineers' Club - Club House","Brooklyn Engineers' Club - Club House"
"Hotel Ponchartrain","Hotel Ponchartrain"
"Souper de Luxe","Souper de Luxe"
"'''Victoria Luise'''","'''Victoria Luise'''"
"Rigg's Twentieth Street Restaurant","Rigg's Twentieth Street Restaurant"
"Cosmopolitan... Hotel","Cosmopolitan... Hotel"
"WM.MANGLER CATERING CO.","WM.MANGLER CATERING CO."
"VOGELSANG'S","VOGELSANG'S"
"FRANCES ECKMAN & ARTHUR HERZOG","FRANCES ECKMAN & ARTHUR HERZOG"
"APPLEDORE HOUSE","APPLEDORE HOUSE"
"U.S.GOVERNMENT","U.S.GOVERNMENT"
"GRANDON HOTEL","GRANDON HOTEL"
"S.P.S.A.A.","S.P.S.A.A."
"AMERICAN BRASS COMPANY","AMERICAN BRASS COMPANY"
"(J.S. WEIR MITCHELL)","(J.S. WEIR MITCHELL)"
"JOHN F. HARRIGAN","JOHN F. HARRIGAN"
"CENTURY BALL","CENTURY BALL"
"WEST SIDE REPUBLICAN CLUB","WEST SIDE REPUBLICAN CLUB"
"PINE FOREST INN","PINE FOREST INN"
"U.S.S. LOUISIANA","U.S.S. LOUISIANA"
"NEW YORK LIFE INSURANCE COMPANY","NEW YORK LIFE INSURANCE COMPANY"
"LE PRINCE REGENT LUITPOLD","LE PRINCE REGENT LUITPOLD"
"BROTHERHOOD OF COMMERCIAL TRAVELERS","BROTHERHOOD OF COMMERCIAL TRAVELERS"
"OSBORNE HOUSE","OSBORNE HOUSE"
"AMERICA ASSOCIATION OF PUBLIC ACCOUNTANTS","AMERICA ASSOCIATION OF PUBLIC ACCOUNTANTS"
"TONK'S RESTAURANT","TONK'S RESTAURANT"
"CARLTON HOTEL COMPANY","CARLTON HOTEL COMPANY"
"A. LUCHOW'S RESTAURANT","A. LUCHOW'S RESTAURANT"
"WESTERN PAPER BOX MANUFACTURERS ASSOCIATION","WESTERN PAPER BOX MANUFACTURERS ASSOCIATION"
"SAVINGS BANKS PRESIDENTS OF STATE OF NEW YORK","SAVINGS BANKS PRESIDENTS OF STATE OF NEW YORK"
"A.E. WATERS","A.E. WATERS"
"LOYAL LEGION OF THE UNITED STATES","LOYAL LEGION OF THE UNITED STATES"
"MORTON HOUSE-RESTAURANT & CAFE","MORTON HOUSE-RESTAURANT & CAFE"
"UNION REPUBLICAN CLUB EXECUTIVE COMMITTEE AND BOARD OF DIRECTORS","UNION REPUBLICAN CLUB EXECUTIVE COMMITTEE AND BOARD OF DIRECTORS"
"UNITED STATE LEGATION IN COPENHAGEN","UNITED STATE LEGATION IN COPENHAGEN"
"LANGHAM HOTEL","LANGHAM HOTEL"
"HOTEL LINCOLN","HOTEL LINCOLN"
"BAY STATE HOTEL","BAY STATE HOTEL"
"GENESSEE VALLEY CLUB","GENESSEE VALLEY CLUB"
"NATIONAL WHOLESALE  DRUGGISTS' ASSOCIATION","NATIONAL WHOLESALE  DRUGGISTS' ASSOCIATION"
"MOUNT PLEASANT ACADEMY ALUMNI ASOCIATION","MOUNT PLEASANT ACADEMY ALUMNI ASOCIATION"
"KING EDWARD HOTEL","KING EDWARD HOTEL"
"PRIVATE HOSTS (GROUP OF 25 MEN LISTED)","PRIVATE HOSTS (GROUP OF 25 MEN LISTED)"
"HILDRETH & ALLEN","HILDRETH & ALLEN"
"COMITE REPUBLICAIN DU COMMERCE DE L'INDUSTRIE & DE L'AGRICULTUR","COMITE REPUBLICAIN DU COMMERCE DE L'INDUSTRIE & DE L'AGRICULTUR"
"W.B. PEAT ESQ. & GUESTS","W.B. PEAT ESQ. & GUESTS"
"NEW YORK CENTRAL AND HUDSON RIVER R.R. DINING CAR SERVICE","NEW YORK CENTRAL AND HUDSON RIVER R.R. DINING CAR SERVICE"
"SUPPER'S HOTEL & RESTAURANT","SUPPER'S HOTEL & RESTAURANT"
"BURKE'S HOTEL & RESTAURANT","BURKE'S HOTEL & RESTAURANT"
"CLASS OF 1858 OF HARVARD COLLEGE","CLASS OF 1858 OF HARVARD COLLEGE"
"NEW YORKER STAATS-ZEITUNG","NEW YORKER STAATS-ZEITUNG"
"BARNEY MERRY LODGE NO. 29","BARNEY MERRY LODGE NO. 29"
"FIFTH AVENUE HOTEL;","FIFTH AVENUE HOTEL;"
"REPUBLIC HOUSE","REPUBLIC HOUSE"
"CLOVER CLUB OF BOSTON","CLOVER CLUB OF BOSTON"
"THE NEW YORK QUICK LUNCH RESTAURANT AND BAKERY","THE NEW YORK QUICK LUNCH RESTAURANT AND BAKERY"
"Bier-halle Kropf","Bier-halle Kropf"
"2 Cultures","2 Cultures"
"Le Bistrot de Maxim's","Le Bistrot de Maxim's"
"Dante","Dante"
"Landliche Hotel","Landliche Hotel"
"(AMERICAN LINE)","(AMERICAN LINE)"
"U.S. CUSTOMS INSPECTORS OF THE PORT OF NEW YORK","U.S. CUSTOMS INSPECTORS OF THE PORT OF NEW YORK"
"'Tenth Annual Banquet","'Tenth Annual Banquet"
"[Visitor's Map of Florence]","[Visitor's Map of Florence]"
